id,book_id,page_id,level,audio,ans_audio,ans_key
1,1,4,1,que-page4.wav,ans-page4.wav,运动;跑步
2,1,5,2,que-page5.wav,ans-page5.wav,磨牙;坚果;树干;啃
3,1,8,3,que-page8.wav,ans-page8.wav,两栖;皮肤;呼吸;湿润
4,1,9,1,que-page9.wav,ans-page9.wav,7;七
5,1,11,1,que-p11.wav,ans-p11.wav,能;可以;长
6,1,13,3,que-page13.wav,ans-page13.wav,劳动力;材料;节省;蜂巢
7,1,14,2,que-page14.wav,ans-page14.wav,大;胖
8,1,18,3,que-page18.wav,ans-page18.wav,倒立;倒着;吊
9,2,2,1,que-p2.wav,ans-p2.wav,Marlin;Child;Son
10,2,2,2,que-p2-2.wav,ans-p2-2.wav,die;kill;hurt;attack
11,2,3,2,que-p3.wav,ans-p3.wav,safe;worries;worried;danger
12,2,5,1,que-p5.wav,ans-p5.wav,diver;trap;boat;caught
13,3,2,1,que-p2.wav,ans-p2.wav,不;没;海藻
14,3,4,2,que-p4.wav,ans-p4.wav,动物;工具
15,3,8,1,que-p8.wav,ans-p8.wav,不;没
16,3,8,3,que-p8-2.wav,ans-p8-2.wav,扮;海藻;妖怪;吓
17,4,2,1,que-p2.wav,ans-p2.wav,这;山;后
18,4,3,1,que-p3.wav,ans-p3.wav,搬;箱子;车
19,4,4,1,que-p4.wav,ans-p4.wav,11;12
20,4,5,1,que-p5.wav,ans-p5.wav,钓鱼;鱼;网
21,4,6,1,que-p6.wav,ans-p6.wav,烤;地瓜;红薯
22,4,7,1,que-p7.wav,ans-p7.wav,猪;松鼠;鹿;熊;浣熊;羊;猫头鹰;兔子;狐狸;鸟;猴子
23,4,8,1,que-p8.wav,ans-p8.wav,你和我;木牌
24,4,12,1,que-p12.wav,ans-p12.wav,猫;不
